                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.020442,               0.018695,                0.02224,              0.0010954,                 0.9172,                0.86203,                0.92037,                0.65197,                0.91063,                0.85351,                0.91167,                 0.6164,               0.027577,               0.025962,               0.026512,              0.0014121,               0.070312,              0.0032986,              0.0032986
                      1,               0.020647,               0.018318,               0.021646,             0.00094423,                 0.9264,                0.85498,                0.92234,                0.63878,                0.92187,                0.85068,                0.90967,                0.61254,               0.028434,               0.026571,               0.026633,               0.001566,               0.039656,              0.0059754,              0.0059754
                      2,               0.023319,               0.018342,               0.022024,                0.00108,                0.92248,                0.84171,                0.90738,                0.61446,                0.91432,                0.83257,                0.89775,                0.58181,               0.030619,               0.027582,                0.02743,              0.0019034,              0.0083394,              0.0079922,              0.0079922
                      3,                0.02283,               0.018374,                0.02199,              0.0011249,                0.95297,                0.82277,                0.91581,                0.62834,                0.93908,                0.81268,                0.90269,                0.59696,               0.029253,               0.026731,               0.027295,              0.0016071,                0.00703,                0.00703,                0.00703
                      4,               0.023006,               0.019496,               0.023104,              0.0011773,                0.95059,                0.82069,                0.91753,                0.62582,                0.94037,                0.80495,                0.89858,                0.59588,               0.029556,               0.025801,               0.026885,              0.0014338,                0.00703,                0.00703,                0.00703
                      5,                0.02238,               0.019543,               0.022933,              0.0011563,                0.91349,                0.84961,                0.91089,                0.63184,                0.91493,                0.85168,                0.91179,                0.59656,               0.029315,               0.026089,               0.027051,              0.0017124,                0.00604,                0.00604,                0.00604
                      6,               0.021788,               0.019367,               0.022184,              0.0012144,                0.92079,                0.85989,                0.91626,                0.63941,                 0.9192,                0.85879,                0.91206,                0.60593,               0.028197,               0.025771,               0.026679,              0.0014517,                0.00505,                0.00505,                0.00505
                      7,               0.021003,               0.018804,               0.022212,              0.0010881,                0.91285,                0.85555,                0.92245,                0.65137,                0.92471,                0.84286,                0.91929,                 0.6145,               0.027476,               0.026147,               0.026438,              0.0012023,                0.00406,                0.00406,                0.00406
                      8,                0.02085,               0.018677,               0.021584,              0.0010561,                0.92603,                0.85178,                0.91773,                0.64737,                0.92193,                0.84552,                0.90772,                0.61212,               0.028448,               0.026835,               0.027454,              0.0014919,                0.00307,                0.00307,                0.00307
                      9,               0.019693,               0.018467,               0.020927,             0.00096618,                0.93372,                0.83731,                0.92295,                0.64834,                0.93359,                 0.8358,                0.91474,                0.61535,               0.027722,               0.026123,               0.027071,              0.0014125,                0.00208,                0.00208,                0.00208
                     10,                 0.9185,                0.86348,                0.92038,                0.65197,                0.91095,                0.85392,                0.91163,                0.61642,               0.027576,               0.025954,               0.026511,              0.0014107
